Type;Link;First-Shared
fake;"[South African Gov: ""[Watch Live] @HealthZA Minister @DrZweliMkhize receives medical supplies from China to combat #COVID19SA""](https://www.pscp.tv/w/cwrludflzgpute5sthlxuw98mux5eejouxzyvlb4tosd9szqivafftw3bmvc0vnbthatblk17vxhirnycwkc?t=45m18s)";2020/04/14
partiallyfalse;[NO TITLE ERROR](https://twitter.com/who/status/1268212303092162561?s=20);2020/06/03
fake;[Labor del Centro Nacional de Epidemiología del ISCIII en investigación y manejo de la pandemia](https://bit.ly/2bf6is2);2020/06/28
fake;[NO TITLE ERROR](https://twitter.com/who/status/1227248333871173632?s=20);2020/02/11
fake;[NO TITLE ERROR](https://go.usa.gov/xddka);2020/02/28
fake;[NO TITLE ERROR](https://twitter.com/niosh/status/1233465410017730560);2020/02/28
fake;[NO TITLE ERROR](https://twitter.com/jennavehvi/status/1238515371063357440);2020/03/15
fake;[NO TITLE ERROR](https://twitter.com/telediariomty/status/1239971370278121473);2020/03/17
fake;[NO TITLE ERROR](https://twitter.com/mazii1000/status/1240228325085216770/video/1);2020/03/18
partiallyfalse;[NO TITLE ERROR](https://twitter.com/realdonaldtrump/status/1240243188708839424);2020/03/18
partiallyfalse;[Government response updates: Trump says FEMA now coordinating, touts possible drug treatments - ABC News](https://abcn.ws/3bd3bo2);2020/03/19
partiallyfalse;[NO TITLE ERROR](https://twitter.com/alhadath/status/1240963799198224385);2020/03/20
fake;[NO TITLE ERROR](https://twitter.com/aadiiroy/status/1240956739484299265);2020/03/20
partiallyfalse;[NO TITLE ERROR](https://twitter.com/shermansmarch2/status/1241116449571082240);2020/03/21
fake;[NO TITLE ERROR](https://twitter.com/antoniouriz/status/1241187178434174977/video/1);2020/03/21
partiallyfalse;[Prima di continuare su YouTube](http://www.youtube.com/watch?v=9lohh2xjsrw);2020/03/22
fake;[NO TITLE ERROR](https://twitter.com/i/broadcasts/1vagrblarpqgl);2020/03/22
fake;[Bitly | Page Not Found | 404](http://bit.ly/2ucsrt);2020/03/23
fake;[Blog non trovato](https://bonos-gobierno.blogspot.com/?share-viral-2);2020/03/24
partiallyfalse;[NO TITLE ERROR](https://evers.wi.gov/documents/covid19/emo12-saferathome.pdf);2020/03/24
fake;[Coronavirus Outbreak in India - covid19india.org](http://www.covid19india.org);2020/03/25
partiallyfalse;[NO TITLE ERROR](https://twitter.com/dbongino/status/1242796075465007104);2020/03/25
fake;[TikTok](https://www.tiktok.com/@unicefindia/video/6806253351269879041);2020/03/26
fake;[What to Do If You Are Sick  | CDC](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html);2020/03/28
partiallyfalse;[Prima di continuare su YouTube](https://youtu.be/orzgeaodp6c);2020/06/05
fake;[NO TITLE ERROR](https://twitter.com/i/broadcasts/1ldxlywpvdokm);2020/07/14
fake;[I Will Vote](http://iwillvote.com);2020/03/03
fake;[Trump's national security adviser says China 'covered up' coronavirus | TheHill](https://thehill.com/homenews/administration/487011-trumps-national-security-adviser-says-china-covered-up-coronavirus?amp=&from=groupmessage);2020/03/12
fake;[403 Forbidden](http://healthalerts.stanford.edu);2020/03/13
fake;[Advice for the public](https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public);2020/03/13
fake;[NO TITLE ERROR](https://twitter.com/marca/status/1238970069591392256);2020/03/15
fake;[NO TITLE ERROR](https://twitter.com/talksport/status/1239135739696340994);2020/03/15
fake;[NCDC Coronavirus COVID-19 Microsite](http://covid19.ncdc.gov.ng);2020/03/15
fake;[NO TITLE ERROR](https://twitter.com/catherinegaste/status/1239351254637297665);2020/03/16
fake;[NO TITLE ERROR](https://twitter.com/enacomargentina/status/1239668697079431169);2020/03/17
fake;[NO TITLE ERROR](https://twitter.com/dharmarajrajesh/status/1240248727538819073);2020/03/18
fake;[Hydroxychloroquine and azithromycin as a treatment of COVID-19.pdf - Google Drive](https://drive.google.com/file/d/186bel9rqfsmex55fdum4xy_ilwshngbj/view?usp=sharing);2020/03/18
fake;[Site Unavailable](https://www.covidtrial.io/);2020/03/18
fake;[NO TITLE ERROR](https://twitter.com/dave_kellerman/status/1240453979131252736);2020/03/19
fake;[NO TITLE ERROR](https://twitter.com/kimjongunique/status/1240636195371208706);2020/03/20
fake;[NO TITLE ERROR](https://twitter.com/narendramodi/status/1240678191116595202);2020/03/20
partiallyfalse;[NO TITLE ERROR](https://twitter.com/radiozet_news/status/1240760994269446144);2020/03/20
fake;[NO TITLE ERROR](https://twitter.com/biancoresearch/status/1240833664801538049);2020/03/21
fake;[TIMEOUT ERROR](http://yomequedoencasa.pe);2020/03/22
fake;[CONNECTION ERROR](http://yomequedoencasa.midis.gob.pe);2020/03/22
fake;[NO TITLE ERROR](https://twitter.com/embacubachina/status/1225073952730558465);2020/02/06
fake;[Interferón alfa 2B: El medicamento cubano usado en China contra el coronavirus › Mundo › Granma - Órgano oficial del PCC](http://www.granma.cu/mundo/2020-02-07/interferon-alfa-2b-el-medicamento-cubano-usado-en-china-contra-el-coronavirus-06-02-2020-10-02-56);2020/02/07
fake;[Coronavirus – gob.mx](http://bit.ly/31envmx);2020/03/04
partiallyfalse;[La Cina approva l'uso di tocilizumab contro le complicanze del coronavirus](https://www.aboutpharma.com/blog/2020/03/04/la-cina-approva-luso-di-tocilizumab-contro-le-complicanze-del-coronavirus/);2020/03/06
fake;[NO TITLE ERROR](https://twitter.com/umbriajournal_/status/1237392224331022337);2020/03/10
fake;[NO TITLE ERROR](https://twitter.com/spokespersonchn/status/1237756103049371648);2020/03/12
fake;[NO TITLE ERROR](https://www.globalresearch.ca/covid-19-further-evidence-virus-originated-us/5706078);2020/03/13
fake;[NO TITLE ERROR](https://twitter.com/irenemontero/status/1238436348165599232);2020/03/13
fake;[NO TITLE ERROR](https://twitter.com/moh_kenya/status/1239202278004985859);2020/03/15
fake;[NO TITLE ERROR](https://twitter.com/minsaludcol/status/1239191667003011072);2020/03/15
partiallyfalse;[Corona-Krise: Aktuelle Informationen zum Bezug unserer Leistungen - Bundesagentur für Arbeit](https://www.arbeitsagentur.de/corona-virus-aktuelle-informationen);2020/03/16
fake;[Blog non trovato](http://bit.ly/who-recharge);2020/03/17
partiallyfalse;[Australian Government Department of Health](http://health.gov.au);2020/03/17
fake;[Coronavirus en Colombia y el mundo - Noticias Caracol](https://buff.ly/2qjgcj0);2020/03/17
partiallyfalse;[NO TITLE ERROR](https://twitter.com/abiyahmedali/status/1247814586830671873);2020/04/08
partiallyfalse;[WHO | Non-pharmaceutical public health measures for mitigating the risk and impact of epidemic and pandemic influenza](https://www.who.int/influenza/publications/public_health_measures/publication/en/);2020/06/06
fake;[NO TITLE ERROR](https://twitter.com/hhsgov/status/1262802706646827008);2020/06/28
fake;[NO TITLE ERROR](https://twitter.com/surgeon_general/status/1260534993744470017?s=21);2020/07/13
fake;[Sponsor a Child in Need | Children International | Kids Charity Organization  | Child Sponsorship in Africa, India, South America, & USA](http://children.org);2020/08/20
fake;[Hoax Alert: Viral 'Emergency Notification' On Coronavirus Is Fake](https://www.boomlive.in/health/hoax-alert-viral-emergency-notification-on-coronavirus-is-fake-6682);2020/01/30
fake;[White House threatens to veto House bill to aid Puerto Rico earthquake recovery | TheHill](https://thehill.com/homenews/administration/481697-white-house-threatens-to-veto-house-bill-to-aid-puerto-rico);2020/02/05
fake;[Pentagon officials stunned by White House decision to block Ukraine aid, new emails show - CNNPolitics](https://www.cnn.com/2020/02/05/politics/emails-pentagon-alarm-ukraine-aid/index.html);2020/02/06
fake;[Senegal reports first COVID-19 case | WHO | Regional Office for Africa](https://bit.ly/38jvm22);2020/03/02
fake;[NO TITLE ERROR](https://twitter.com/tnfamosos/status/1235305874329161730);2020/03/04
partiallyfalse;[PLA medics are not testing... - People's Daily, China | Facebook](http://bit.ly/2pnvqkm);2020/03/05
fake;"[Cyril Ramaphosa: ""#CoronaVirusSA""](https://www.pscp.tv/w/cs_ohdf4a1feqkxttlbsanp8mu95skfza25fzfdkyvsdy6f1y1d9ohntlpnuw-imj58n3udacrbks-xd9dln)";2020/03/05
fake;[NO TITLE ERROR](https://twitter.com/unicef/status/1236052592825896960);2020/03/07
fake;[How the Trump administration squandered time and lost control of the coronavirus crisis - The Washington Post](https://www.washingtonpost.com/politics/trump-coronavirus-response-squandered-time/2020/03/07/5c47d3d0-5fcb-11ea-9055-5fa12981bbbf_story.html);2020/03/07
fake;[TIMEOUT ERROR](https://bit.ly/2trn2gv);2020/03/09
fake;[NO TITLE ERROR](https://twitter.com/emergenciaavila/status/1237270755529961473?s=19);2020/03/10
fake;[NO TITLE ERROR](https://twitter.com/237online/status/1236951127502938112);2020/03/10
fake;[Comunicado de la Universidad Pablo de Olavide ante la información falsa que circula on line sobre el cierre de la  institución – DUPO – Diario de la Universidad Pablo de Olavide](https://www.upo.es/diario/institucional/2020/03/comunicado-de-la-universidad-pablo-de-olavide-ante-la-informacion-falsa-que-circula-on-line-sobre-el-cierre-de-la-institucion/);2020/03/10
fake;[NO TITLE ERROR](https://twitter.com/gobjccm/status/1237063142330511360);2020/03/10
fake;[Prima di continuare su YouTube](https://m.youtube.com/watch?v=do-gm1obw3s);2020/03/10
fake;[Daniel Radcliffe Coronavirus Fake News, He Does Not Have COVID-19 ](https://www.buzzfeednews.com/article/janelytvynenko/daniel-radcliffe-does-not-have-coronavirus);2020/03/10
fake;[Assessore Gallera: Velocità contagio da Coronavirus impressionante, è una corsa contro il tempo](https://www.fanpage.it/attualita/coronavirus-assessore-gallera-velocita-del-contagio-impressionante-e-una-corsa-contro-il-tempo/);2020/03/10
fake;[7 simple steps to protect yourself and others from COVID-19 | by World Health Organization | World Health Organization | Medium](http://bit.ly/337yabc);2020/03/11
fake;[Cadena SER desmiente la noticia de casos de coronavirus en Cuenca | Radio 90 Motilla  | Cadena SER](https://buff.ly/2w4bzx2);2020/03/11
fake;[Coronavirus disease (COVID-19): What parents should know | UNICEF Kenya](https://www.unicef.org/kenya/stories/novel-coronavirus-outbreak-what-parents-should-know);2020/03/12
fake;[Irekia Eusko Jaurlaritza - Gobierno Vasco :: Agenda](http://ow.ly/xp0x30qpexi);2020/03/12
fake;[Resegone Online - notizie da Lecco e provincia » In soccorso della Lombardia anche medici venezuelani ](http://www.resegoneonline.it/articoli/in-soccorso-della-lombardia-anche-medici-venezuelani-20200314/#.xm1bhp1ejtk.twitter);2020/03/14
fake;[En el cepo, así castigó la guardia indígena Zenú a infractores de la cuarentena - LARAZON.CO](https://bit.ly/2xbqxiw);2020/04/02
fake;[Latest breaking news headlines | 7NEWS.com.au](http://7news.com.au);2020/04/29
fake;[NO TITLE ERROR](https://twitter.com/fiteray/status/1220301032015556608/video/1);2020/01/23
fake;[Diputado De Grazia reportó posible caso del coronavirus en Venezuela - AlbertoNews - Periodismo sin censura](https://albertonews.com/nacionales/ultima-hora-reportan-primer-caso-del-coronavirus-en/);2020/01/23
fake;[Chinese researcher escorted from infectious disease lab amid RCMP investigation | CBC News](https://www.cbc.ca/news/canada/manitoba/chinese-researcher-escorted-from-infectious-disease-lab-amid-rcmp-investigation-1.5211567);2020/01/25
partiallyfalse;[NO TITLE ERROR](https://twitter.com/oliverswilde/status/1221083419972636673);2020/01/25
fake;[404 Not Found](https://www.infowars.com/bill-and-melinda-gates-foundation-others-predicted-up-to-65-million-deaths-via-coronavirus-in-simulation-ran-3-months-ago/);2020/01/27
fake;[NO TITLE ERROR](http://bit.ly/2u0ii9k);2020/01/27
fake;[NO TITLE ERROR](https://twitter.com/hmetromy/status/1222074763859771392);2020/01/28
fake;[NO TITLE ERROR](https://twitter.com/globaltimesnews/status/1222468594253979649);2020/01/29
fake;[یافته جدید درباره کرونا: کودکان مبتلا نمی‌شوند | سایت انتخاب ](http://entekhab.ir/002d2h);2020/01/30
fake;[NO TITLE ERROR](https://twitter.com/amirsariaslan/status/1222907407770226690);2020/01/30
fake;[auspice](https://nextstrain.org/groups/blab/sars-like-cov);2020/01/31
fake;[NO TITLE ERROR](https://twitter.com/biorxivpreprint/status/1223245639296978951);2020/01/31
fake;[Prima di continuare su YouTube](https://youtu.be/gs-xdtsjcbo);2020/02/03
partiallyfalse;[There's no page here | Taiwan News](https://www.taiwannews.com.tw/en/news/3871594);2020/02/05
fake;['Tidal wave of voter suppression' washes over states, lawyer says](https://www.nbcnews.com/news/nbcblk/presidential-voting-season-tidal-wave-voter-suppression-washing-over-multiple-n1128041);2020/02/05
fake;[Brooklyn park to be renamed after trans activist Marsha P. Johnson](https://www.nbcnews.com/feature/nbc-out/brooklyn-park-be-renamed-after-trans-activist-marsha-p-johnson-n1128441);2020/02/06
fake;[NO TITLE ERROR](https://twitter.com/voxdotcom/status/1224902988629708802);2020/02/06
fake;[Cheating death: China's Wuhan coronavirus survivors recall ordeal - Cheating death: China's Wuhan coronavirus survivors recall ordeal](https://ab-tc.com/china-seek-for-courts-approval-to-kill-the-over-20000-coronavirus-patients-to-avoid-further-spread-of-the-virus/);2020/02/06
fake;[NO TITLE ERROR](https://twitter.com/mdfujita/status/1226102497607081984);2020/02/08
fake;[中国「新型肺炎、飛沫・接触のほかエアロゾル通じた感染可能」 | Joongang Ilbo | 中央日報](https://s.japanese.joins.com/jarticle/262351);2020/02/09
partiallyfalse;[Coronavirus (COVID-19): guidance and support - GOV.UK](https://www.gov.uk/coronavirus);2020/03/02
fake;"[Who: ""LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus""](https://www.pscp.tv/w/csvnuti2mtaymhwxcm14uefwtndnaktotlvlqg6st4vzrnhc7-z2looiokjuwhqfdw55klrqxqc=)";2020/03/02
fake;[NO TITLE ERROR](https://twitter.com/cdcgov/status/1233490807182651392);2020/03/02
partiallyfalse;[Access Restricted](https://www.khon2.com/coronavirus/hotels-for-heroes-safe-stay-for-essential-personnel/);2020/04/05
fake;[Instituto de Salud Pública de Chile](http://www.ispch.cl/noticia/29927);2020/04/08
fake;[ Fondation Panzi](http://fondationpanzirdc.org);2020/06/18
fake;[Panzi Hospital and Foundations](http://panzifoundation.org);2020/06/18
fake;[Hopital de Panzi - Docteur Mukwege](http://hopitaldepanzi.org);2020/06/18
fake;[Home - Dr. Denis Mukwege Foundation](http://mukwegefoundation.org);2020/06/18
fake;[Prima di continuare su YouTube](https://youtu.be/i8retuy73ho);2020/06/28
fake;[NO TITLE ERROR](https://www.cell.com/trends/pharmacological-sciences/pdf/s0165-6147(20)30130-9.pdf?_returnurl=https%3a%2f%2flinkinghub.elsevier.com%2fretrieve%2fpii%2fs0165614720301309%3fshowall%3dtrue);2020/07/01
partiallyfalse;[NO TITLE ERROR](https://twitter.com/beholdisrael/status/1227570288071716864/video/1);2020/02/13
fake;[NO TITLE ERROR](https://twitter.com/kevcirilli/status/1240084307965882371);2020/03/18
partiallyfalse;[Oscar Launches First Testing Center Locator for COVID-19](https://www.prnewswire.com/news-releases/oscar-launches-first-testing-center-locator-for-covid-19-301023288.html);2020/03/14
partiallyfalse;[NO TITLE ERROR](https://twitter.com/laborseller/status/1262509741676298242);2020/05/19
partiallyfalse;[NO TITLE ERROR](https://twitter.com/cucumbertonic/status/1245339561544343553/video/1);2020/04/01
fake;[NO TITLE ERROR](https://twitter.com/gopleader/status/1234924508500447234);2020/03/03
partiallyfalse;[NO TITLE ERROR](https://twitter.com/tmnarayan/status/1243491290391740418);2020/03/27
partiallyfalse;[NO TITLE ERROR](https://twitter.com/robertklemko/status/1249716012599083010);2020/04/14
partiallyfalse;[Border agents seize bag of tiny dead birds | Daily Mail Online](https://trib.al/uec1tov);2020/02/11
fake;[NO TITLE ERROR](https://twitter.com/janellaparis_/status/1222031114971181056/photo/1);2020/01/28
partiallyfalse;[This is HUGE! Our Take on Microsoft's Filing of Patent #060606](https://www.bitchute.com/video/wzupvreyukzq/);2020/04/18
partiallyfalse;[NO TITLE ERROR](https://twitter.com/covid_19news/status/1229773695046037505);2020/02/18
fake;[Statement about nCoV and our pandemic exercise](https://bit.ly/2tsdsp5);2020/01/25
fake;[Bay Area orders 'shelter in place,' only essential businesses open in 6 counties](https://www.sfchronicle.com/local-politics/article/bay-area-must-shelter-in-place-only-15135014.php);2020/03/16
partiallyfalse;[Photos of China coronavirus particles under the microscope | Daily Mail Online](https://trib.al/bjka3tq);2020/01/27
partiallyfalse;[Wuhan, China's coronavirus epicentre, has SARS and Ebola lab | Daily Mail Online](https://mol.im/a/7922379);2020/01/25
